KOD;BİLEŞEN ADI;AÇIKLAMA
SWB15;Emiş Kollektör Temizleme Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB16;1. Proses Geri Dönüş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB17;2. Proses Geri Dönüş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB18;3. Proses Geri Dönüş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB19;4. Proses Geri Dönüş Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB20;1. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB21;2. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB22;3. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB23;4. Proses Tankı Oto. Dolum Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB24;1. Proses Tankı Kaskat Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB25;2. Proses Tankı Kaskat Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB26;3. Proses Tankı Kaskat Aktüatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB27;1. Tank Drenaj Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB28;2. Tank Drenaj Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB29;3. Tank Drenaj Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB30;Arıtma Dönüş Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB31;1. Eşanjör Gidiş Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB32;1. Tank İçi Yıkama Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB33;2. Tank İçi Yıkama Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB34;3. Tank İçi Yıkama Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB35;Şebeke Suyu ile Durulama  Aktuatör Vanası Switch Box;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB36;Sepet Alma Kontrol Switch Box 1;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB37;Sepet Alma Kontrol Switch Box 2;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB38;1. Proses Tankından Pompaya Emiş Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB39;2. Proses Tankından Pompaya Emiş Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB40;1. Hücreden Pompaya Emiş Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB41;2. Hücreden Pompaya Emiş Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB42;1. Proses Hattı Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB43;2. Proses Hattı Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB44;Hat Temizleme Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SWB45;Egzos Hattı Aktüatör Vanası Switchbox;Saha aktüatör vanasının açık/kapalı konum geri bildirimini toplar ve PLC dijital giriş devresine iletir. İlgili aktüatör vanası, solenoid ve proses hattına bağlıdır.
SW01;Hücre Kapak Açık Konumda Switchi;Kapak veya kapağın tam açık konumda olduğunu doğrular. Kapak pistonu/aktüatör ve PLC interlock devresine bağlıdır.
SW02;Hücre Kapak Kapalı Konumda Switchi;Kapak veya kapağın tam kapalı konumda olduğunu doğrular. Kapak interlock ve PLC güvenlik devresine bağlıdır.
SW03;1. Proses Tank Kapağı Açık Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW04;1. Proses Tank Kapağı Kapalı Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW05;2. Proses Tank Kapağı Açık Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW06;2. Proses Tank Kapağı Kapalı Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW07;3. Proses Tank Kapağı Açık Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW08;3. Proses Tank Kapağı Kapalı Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW09;4. Proses Tank Kapağı Açık Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW10;4. Proses Tank Kapağı Kapalı Konumda Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW11;Sepet 1. Pozisyon Switchi;Mekanik ekipmanın hedef pozisyonda olduğunu doğrular. İlgili tahrik ünitesi ve PLC dijital giriş devresine bağlıdır.
SW12;Sepet 2. Pozisyon Switchi;Mekanik ekipmanın hedef pozisyonda olduğunu doğrular. İlgili tahrik ünitesi ve PLC dijital giriş devresine bağlıdır.
SW13;1. Flow  Switchi;Hat akışının mevcut olup olmadığını algılar. Proses pompası, hat vanaları ve PLC dijital giriş devresine bağlıdır.
SW14;2. Flow  Switchi;Hat akışının mevcut olup olmadığını algılar. Proses pompası, hat vanaları ve PLC dijital giriş devresine bağlıdır.
SW15;3. Flow  Switchi;Hat akışının mevcut olup olmadığını algılar. Proses pompası, hat vanaları ve PLC dijital giriş devresine bağlıdır.
SW16;4. Flow  Switchi;Hat akışının mevcut olup olmadığını algılar. Proses pompası, hat vanaları ve PLC dijital giriş devresine bağlıdır.
SW17;xxx Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW18;Hücre Kapağı Kontrol Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW19;xxx Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
SW20;xxx Switchi;Mekanik konum veya durum geri bildirimi sağlar. İlgili ekipman ve PLC dijital giriş devresine bağlıdır.
PPS01;Ana Hücre Kapak Pistonu Açık Sensörü;Ana hücre kapak pistonunun açık/kapalı konumunu algılar. Kapak piston vanası, interlock ve PLC güvenlik devresine bağlıdır.
PPS02;Ana Hücre Kapak Pistonu Kapalı Sensörü;Ana hücre kapak pistonunun açık/kapalı konumunu algılar. Kapak piston vanası, interlock ve PLC güvenlik devresine bağlıdır.
PPS03;1. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS04;1. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS05;1. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS06;1. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS07;2. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS08;2. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS09;2. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS10;2. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS11;Hücre Tahliye Pistonu Açık Sensörü;Hücre tahliye pistonunun konumunu algılar. Tahliye vanası, hücre drenaj hattı ve PLC dijital giriş devresine bağlıdır.
PPS12;Hücre Tahliye Pistonu Kapalı Sensörü;Hücre tahliye pistonunun konumunu algılar. Tahliye vanası, hücre drenaj hattı ve PLC dijital giriş devresine bağlıdır.
PPS13;1. Proses Tankı Lift Pistonu Açık Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS14;1. Proses Tankı Lift Pistonu Ara Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS15;1. Proses Tankı Lift Pistonu Kapalı Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS16;2. Proses Tankı Lift Pistonu Açık Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS17;2. Proses Tankı Lift Pistonu Ara Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS18;2. Proses Tankı Lift Pistonu Kapalı Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS19;3. Proses Tankı Lift Pistonu Açık Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS20;3. Proses Tankı Lift Pistonu Ara Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS21;3. Proses Tankı Lift Pistonu Kapalı Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS22;4. Proses Tankı Lift Pistonu Açık Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS23;4. Proses Tankı Lift Pistonu Ara Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS24;4. Proses Tankı Lift Pistonu Kapalı Sensörü;Proses tankı lift pistonunun açık, ara veya kapalı konumunu algılar. Lift piston vanası, tank mekanizması ve PLC dijital giriş devresine bağlıdır.
PPS25;3. Proses Tankı 1. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS26;3. Proses Tankı 1. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS27;3. Proses Tankı 2. Yönlendirme Pistonu Açık Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS28;3. Proses Tankı 2. Yönlendirme Pistonu Kapalı Sensörü;Yönlendirme pistonunun açık/kapalı konumunu algılar. Piston vanası, proses akış yönlendirme hattı ve PLC devresine bağlıdır.
PPS29;xxx Pistonu Açık Sensörü;Pnömatik piston konum geri bildirimi sağlar. Piston vanası, solenoid valf ve PLC dijital giriş devresine bağlıdır.
PPS30;xxx Pistonu Kapalı Sensörü;Pnömatik piston konum geri bildirimi sağlar. Piston vanası, solenoid valf ve PLC dijital giriş devresine bağlıdır.
PS05;Giriş Su Basınç  Sensörü;Besleme su hattı basıncını izler. Su besleme vanası, basınç şalteri ve PLC analog giriş devresine bağlıdır.
PS06;Giriş Hava Basıncı Basınç Sensörü;Pnömatik hava hattı basıncını izler. Hava regülatörü, basınç şalteri ve PLC analog/dijital giriş devresine bağlıdır.
TC01;1. Proses Tankı Isı Ölçer;Proses tankı sıcaklığını ölçer ve ısı kontrol döngüsüne analog sinyal sağlar. Rezistans/ısıtma devresi ve PLC analog girişe bağlıdır.
TC02;2. Proses Tankı Isı Ölçer;Proses tankı sıcaklığını ölçer ve ısı kontrol döngüsüne analog sinyal sağlar. Rezistans/ısıtma devresi ve PLC analog girişe bağlıdır.
TC03;3. Proses Tankı Isı Ölçer;Proses tankı sıcaklığını ölçer ve ısı kontrol döngüsüne analog sinyal sağlar. Rezistans/ısıtma devresi ve PLC analog girişe bağlıdır.
TC04;4. Proses Tankı Isı Ölçer;Proses tankı sıcaklığını ölçer ve ısı kontrol döngüsüne analog sinyal sağlar. Rezistans/ısıtma devresi ve PLC analog girişe bağlıdır.
TC05;1. Kurutma Isı Ölçer;Kurutma hattı hava sıcaklığını ölçer ve PLC analog giriş devresine 4–20 mA sinyali iletir. Kurutma rezistansı, fan ve ısı kontrol devresine bağlıdır.
TC06;2. Kurutma Isı Ölçer;Kurutma hattı hava sıcaklığını ölçer ve PLC analog giriş devresine 4–20 mA sinyali iletir. Kurutma rezistansı, fan ve ısı kontrol devresine bağlıdır.
TC07;Hücre İçi Isı Ölçer;Hücre içi proses ortam sıcaklığını ölçer. PLC analog giriş ve ısı kontrol devresine bağlıdır.
TC08;xxx Isı Ölçer;Proses ortam sıcaklığını ölçer. PLC analog giriş ve ısı kontrol devresine bağlıdır.
TC09;xxx Isı Ölçer;Proses ortam sıcaklığını ölçer. PLC analog giriş ve ısı kontrol devresine bağlıdır.
TC10;xxx Isı Ölçer;Proses ortam sıcaklığını ölçer. PLC analog giriş ve ısı kontrol devresine bağlıdır.
PS01;1. Proses Pompası Basınç Sensörü ( 4-20 mA);"Proses pompası çıkış basıncını ölçer; düşük basınçta pompa koruma sinyali üretir. Pompa, emiş hattı ve PLC analog giriş devresine bağlıdır."
PS02;2. Proses Pompası Basınç Sensörü ( 4-20 mA);"Proses pompası çıkış basıncını ölçer; düşük basınçta pompa koruma sinyali üretir. Pompa, emiş hattı ve PLC analog giriş devresine bağlıdır."
PS03;3. Proses Pompası Basınç Sensörü ( 4-20 mA);"Proses pompası çıkış basıncını ölçer; düşük basınçta pompa koruma sinyali üretir. Pompa, emiş hattı ve PLC analog giriş devresine bağlıdır."
PS04;4. Proses Pompası Basınç Sensörü ( 4-20 mA);"Proses pompası çıkış basıncını ölçer; düşük basınçta pompa koruma sinyali üretir. Pompa, emiş hattı ve PLC analog giriş devresine bağlıdır."
PS05;Hücre İçi Vakum Sensörü  ( 4-20 mA);Hücre içi vakum basıncını ölçer ve PLC analog giriş devresine 4–20 mA sinyali iletir. Vakum pompası, emiş hattı ve proses kontrol devresine bağlıdır.
PS06;Giriş Su Basınç Sensörü ( 4-20 mA);Besleme su hattı basıncını izler. Su besleme vanası, basınç şalteri ve PLC analog giriş devresine bağlıdır.
PS07;Giriş Hava Basınç Sensörü ( 4-20 mA);Pnömatik hava hattı basıncını izler. Hava regülatörü, basınç şalteri ve PLC analog/dijital giriş devresine bağlıdır.
PS08;1. Basınç Şalteri;Hat basıncının eşik üstü/altı durumunu anahtarlayarak dijital sinyal üretir. Basınç hattı ve PLC dijital giriş devresine bağlıdır.
PS09;2. Basınç Şalteri;Hat basıncının eşik üstü/altı durumunu anahtarlayarak dijital sinyal üretir. Basınç hattı ve PLC dijital giriş devresine bağlıdır.
PS10;xxxx Sensörü;Proses hattı basıncını ölçer veya izler. İlgili hat, pompa/vana ve PLC giriş devresine bağlıdır.
PHS01;1. Proses Tankı pH Sensörü;Proses sıvısının pH değerini ölçer ve dozaj/ proses kontrol için PLC analog giriş devresine sinyal iletir. Dozaj pompası, karıştırma ve proses tankına bağlıdır.
PHS02;2. Proses Tankı pH Sensörü;Proses sıvısının pH değerini ölçer ve dozaj/ proses kontrol için PLC analog giriş devresine sinyal iletir. Dozaj pompası, karıştırma ve proses tankına bağlıdır.
PHS03;3. Proses Tankı pH Sensörü;Proses sıvısının pH değerini ölçer ve dozaj/ proses kontrol için PLC analog giriş devresine sinyal iletir. Dozaj pompası, karıştırma ve proses tankına bağlıdır.
PHS04;4. Proses Tankı pH Sensörü;Proses sıvısının pH değerini ölçer ve dozaj/ proses kontrol için PLC analog giriş devresine sinyal iletir. Dozaj pompası, karıştırma ve proses tankına bağlıdır.
PHS05;Yıkama Hattı pH Sensörü;Proses sıvısının pH değerini ölçer ve dozaj/ proses kontrol için PLC analog giriş devresine sinyal iletir. Dozaj pompası, karıştırma ve proses tankına bağlıdır.
CS01;1. Proses Tankı İletkenlik Sensörü;"Proses sıvısının iletkenlik değerini ölçer; konsantrasyon ve dozaj kontrolü için PLC analog giriş devresine sinyal iletir. Proses tankı, dozaj ve yıkama hattına bağlıdır."
CS02;2. Proses Tankı İletkenlik Sensörü;"Proses sıvısının iletkenlik değerini ölçer; konsantrasyon ve dozaj kontrolü için PLC analog giriş devresine sinyal iletir. Proses tankı, dozaj ve yıkama hattına bağlıdır."
CS03;3. Proses Tankı İletkenlik Sensörü;"Proses sıvısının iletkenlik değerini ölçer; konsantrasyon ve dozaj kontrolü için PLC analog giriş devresine sinyal iletir. Proses tankı, dozaj ve yıkama hattına bağlıdır."
CS04;4. Proses Tankı İletkenlik Sensörü;"Proses sıvısının iletkenlik değerini ölçer; konsantrasyon ve dozaj kontrolü için PLC analog giriş devresine sinyal iletir. Proses tankı, dozaj ve yıkama hattına bağlıdır."
CS05;xxxx İletkenlik Sensörü;"Proses sıvısının iletkenlik değerini ölçer; konsantrasyon ve dozaj kontrolü için PLC analog giriş devresine sinyal iletir. Proses tankı, dozaj ve yıkama hattına bağlıdır."
V01;1. Proses Pompa Emiş Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V02;2. Proses Pompa Emiş Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V03;3. Proses Pompa Emiş Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V04;4. Proses Pompa Emiş Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V05;Conta Şişirme Aktüator Vanası valfi;Kapak/conta şişirme veya söndürme hattında pnömatik akışı kontrol eder. Kapak pistonu, basınç regülatörü ve PLC dijital çıkış devresine bağlıdır.
V06;Conta Söndürme Aktüator Vanası valfi;Kapak/conta şişirme veya söndürme hattında pnömatik akışı kontrol eder. Kapak pistonu, basınç regülatörü ve PLC dijital çıkış devresine bağlıdır.
V07;1. Kurutma Hattı Aktüator Vanası valfi;Kurutma hattı hava/akış yönlendirmesini kontrol eder. Kurutma fanı, ısıtıcı ve PLC dijital çıkış devresine bağlıdır.
V08;2. Kurutma Hattı Aktüator Vanası valfi;Kurutma hattı hava/akış yönlendirmesini kontrol eder. Kurutma fanı, ısıtıcı ve PLC dijital çıkış devresine bağlıdır.
V09;Hücre Drenaj Aktüatör Vanası valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V10;Hücre Emiş Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V11;Proses Ana Geri Dönüş Aktüatör Vanası valfi;Proses geri dönüş hattında akış yönlendirme sağlar. Proses pompası, filtre ve PLC dijital çıkış devresine bağlıdır.
V12;Hat Temizleme Aktüatör Vanası valfi;Proses hattında akış yönlendirme, izolasyon veya kontrol sağlar. İlgili hat, aktüatör/solenoid ve PLC dijital çıkış devresine bağlıdır.
V13;By-Pass Hattı Aktüatör Vanası valfi;By-pass hattında akış yönlendirme ve filtre/devre izolasyonu sağlar. Ana proses hattı ve PLC dijital çıkış devresine bağlıdır.
V14;Ana Yıkama Nozzle Aktüatör Vanası valfi;Ana yıkama nozul hattında sprey akışını açar/kapatır. Basma pompası, manifold ve PLC dijital çıkış devresine bağlıdır.
V15;Emiş Kollektör Temizleme Aktüatör Vanası valfi;Emiş hattında akış yönlendirme ve izolasyon sağlar. Pompa emiş hattı, aktüatör, limit switch ve PLC dijital çıkış devresine bağlıdır.
V16;1. Proses Geri Dönüş Aktüatör Vanası valfi;Proses geri dönüş hattında akış yönlendirme sağlar. Proses pompası, filtre ve PLC dijital çıkış devresine bağlıdır.
V17;2. Proses Geri Dönüş Aktüatör Vanası valfi;Proses geri dönüş hattında akış yönlendirme sağlar. Proses pompası, filtre ve PLC dijital çıkış devresine bağlıdır.
V18;3. Proses Geri Dönüş Aktüatör Vanası valfi;Proses geri dönüş hattında akış yönlendirme sağlar. Proses pompası, filtre ve PLC dijital çıkış devresine bağlıdır.
V19;4. Proses Geri Dönüş Aktüatör Vanası valfi;Proses geri dönüş hattında akış yönlendirme sağlar. Proses pompası, filtre ve PLC dijital çıkış devresine bağlıdır.
V20;1. Proses Tankı Oto. Dolum Aktüatör Vanası valfi;Proses tankına otomatik dolum akışını kontrol eder. Besleme hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V21;2. Proses Tankı Oto. Dolum Aktüatör Vanası valfi;Proses tankına otomatik dolum akışını kontrol eder. Besleme hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V22;3. Proses Tankı Oto. Dolum Aktüatör Vanası valfi;Proses tankına otomatik dolum akışını kontrol eder. Besleme hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V23;4. Proses Tankı Oto. Dolum Aktüatör Vanası valfi;Proses tankına otomatik dolum akışını kontrol eder. Besleme hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V24;1. Proses Tankı Kaskat Aktüatör Vanası valfi;Tanklar arası kaskad dolum/aktarım akışını yönlendirir. Kaynak ve hedef tank, seviye sensörleri ve PLC devresine bağlıdır.
V25;2. Proses Tankı Kaskat Aktüatör Vanası valfi;Tanklar arası kaskad dolum/aktarım akışını yönlendirir. Kaynak ve hedef tank, seviye sensörleri ve PLC devresine bağlıdır.
V26;3. Proses Tankı Kaskat Aktüatör Vanası valfi;Tanklar arası kaskad dolum/aktarım akışını yönlendirir. Kaynak ve hedef tank, seviye sensörleri ve PLC devresine bağlıdır.
V27;1. Tank Drenaj Aktuatör Vanası valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V28;2. Tank Drenaj Aktuatör Vanası valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
V29;3. Tank Drenaj Aktuatör Vanası valfi;Tank veya hücre drenaj/tahliye hattında sıvı akışını kontrol eder. Drenaj hattı, seviye sensörü ve PLC dijital çıkış devresine bağlıdır.
